condition_id,model_id,decision_date,prompt_hash,target_asset,top_asset_raw,top_asset_projected,raw_fidelity,projected_fidelity
P2,gemma3:270m,2012-01-03,6c582e83b14a26a5,BIL,EEM,EEM,0,0
P2,gemma3:270m,2013-03-07,a0db12a032f5d558,BIL,SLV,SLV,0,0
P2,gemma3:270m,2015-11-04,3f02b79050f8c8fe,BIL,SPY,SPY,0,0
P2,gemma3:270m,2017-03-08,c7a6f9ac819b6f08,BIL,SPY,SPY,0,0
P2,gemma3:270m,2018-01-05,5705dd746927a2d0,BIL,VWO,VWO,0,0
P2,gemma3:270m,2019-05-09,bdd9940ded1ca69e,BIL,SPY,SPY,0,0
P2,gemma3:270m,2019-09-09,86612dbe3114bbda,BIL,SLV,SLV,0,0
P2,gemma3:270m,2020-09-08,cd04a42db0fc7a21,BIL,SPY,SPY,0,0
P2,gemma3:270m,2021-09-08,b435fbbbe7975789,BIL,VNQ,VNQ,0,0
P2,gemma3:270m,2022-03-09,6b731b48cd576093,BIL,SPY,SPY,0,0
P2,gemma3:270m,2022-09-08,b163d29ecea4f998,BIL,SPY,SPY,0,0
P2,gemma3:270m,2023-07-12,04fb1f72efd78c0d,BIL,UUP,UUP,0,0
P2,gemma3:270m,2023-09-11,fecfc7598bfdded8,BIL,SPY,SPY,0,0
P2,gemma3:270m,2024-01-10,a5744b24c021d019,BIL,EEM,EEM,0,0
P2,gemma3:270m,2024-07-12,003fbd5db017f98e,BIL,VNQ,VNQ,0,0
P2,gemma3:270m,2025-01-13,5d9079d7509da910,BIL,SPY,SPY,0,0
P2,gemma3:270m,2025-05-14,3986a41cb2fcd28c,BIL,QQQ,QQQ,0,0
P2,gemma3:270m,2025-09-15,29acbe8e4692ab37,BIL,SLV,SLV,0,0
P2,gemma3:1b,2012-01-03,d3e5e8d59a461818,BIL,SPY,SPY,0,0
P2,gemma3:1b,2013-03-07,8f7e91588db20683,BIL,SPY,SPY,0,0
P2,gemma3:1b,2015-11-04,1182135bb65c0125,BIL,SPY,SPY,0,0
P2,gemma3:1b,2017-03-08,7ea99234173465a7,BIL,SPY,SPY,0,0
P2,gemma3:1b,2018-01-05,48cddc588ca5063c,BIL,SPY,SPY,0,0
P2,gemma3:1b,2019-05-09,38776132f7f46947,BIL,SPY,SPY,0,0
P2,gemma3:1b,2019-09-09,97f8009b7e333535,BIL,SPY,SPY,0,0
P2,gemma3:1b,2020-09-08,643fbab55ccf05e8,BIL,SPY,SPY,0,0
P2,gemma3:1b,2021-09-08,859bbc1cb131deb4,BIL,SPY,SPY,0,0
P2,gemma3:1b,2022-03-09,728791bf7344ec1a,BIL,SPY,SPY,0,0
P2,gemma3:1b,2022-09-08,0f8f8e9ddbecf6d3,BIL,SPY,SPY,0,0
P2,gemma3:1b,2023-07-12,ef822eae618b12c8,BIL,SPY,SPY,0,0
P2,gemma3:1b,2023-09-11,4819e741a5565e09,BIL,SPY,SPY,0,0
P2,gemma3:1b,2024-01-10,2fd5926b20423d6d,BIL,SPY,SPY,0,0
P2,gemma3:1b,2024-07-12,924119941e19f5dc,BIL,SPY,SPY,0,0
P2,gemma3:1b,2025-01-13,e96db463901af347,BIL,SPY,SPY,0,0
P2,gemma3:1b,2025-05-14,5594c460e03c6a4e,BIL,SPY,SPY,0,0
P2,gemma3:1b,2025-09-15,35793e51f6ae4568,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2012-01-03,82ee333bc6548baf,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2013-03-07,14316f1b8809de79,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2015-11-04,0b3e177e2ce888c0,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2017-03-08,f05b5199d6a2db88,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2018-01-05,ff2a78f7487288b7,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2019-05-09,25a57766a4e54b78,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2019-09-09,1dc470344e46cb63,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2020-09-08,8ca20430641f6625,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2021-09-08,377932ba623313b1,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2022-03-09,675c93f57048e0e2,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2022-09-08,4697bf8c32a84dc5,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2023-07-12,d37b418ac5cbe7a9,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2023-09-11,dd0196e35c4659f3,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2024-01-10,7034103447af3013,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2024-07-12,642b6d42fcffe0f9,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2025-01-13,a41ff568ee0c16e1,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2025-05-14,85d79ff79637dafc,BIL,SPY,SPY,0,0
P2,llama3.1:8b,2025-09-15,d3bb0c37f16080b5,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2012-01-03,34c4eb8c16628d4c,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2013-03-07,271fea03b1d2e787,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2015-11-04,12e0959712679e25,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2017-03-08,01ed3ad5c699d2b1,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2018-01-05,c6415decaf217d8b,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2019-05-09,34d1e51cc5db796b,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2019-09-09,2172b52272ffd4c7,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2020-09-08,51caa23da6c5a2eb,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2021-09-08,5504ac5aab5e629f,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2022-03-09,67bfb63175000374,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2022-09-08,b64f5e74796bcfc6,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2023-07-12,cc260207efac7c7b,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2023-09-11,9be47756617f4ad5,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2024-01-10,6067ef2419f509d9,BIL,SPY,SPY,0,0
P2,qwen3.5:4b,2024-07-12,c2798c98f515872d,BIL,SPY,SPY,0,0
